F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,filename
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22248308,0.037445918,0.21533191,0.22268485,0.22951515,0.014183238,0.53045446,0.22855277,0.4776038,0.25906575,0.061401088,0.15231913,25.841232,0.052068096,2.2738092,0.9454824,4.85224,0.5087364,-6.3732944,-0.49768808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.515743,21.03732,0.02305198,-0.0080566965,0.06145601,12.112112,0.0,0.0,0.0,9.929999,0.0,-42.965935,../../../dataset/mimii/fan/id_04/abnormal/00000000.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23100576,0.04002822,0.22313514,0.23133464,0.23888609,0.015750945,0.52816856,0.23844622,0.5139197,0.30354545,0.058686018,0.14719567,23.633202,0.058352496,4.9551206,0.42222404,-4.9199724,-0.53638816,-0.27771792,-12.298113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.1765585,20.502407,0.029562093,-0.0059075584,0.058666203,10.01001,0.0,0.0,0.0,9.929999,0.0,-43.093266,../../../dataset/mimii/fan/id_04/abnormal/00000001.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23022152,0.03699312,0.2231727,0.22980261,0.23765612,0.014483422,0.5403444,0.22439642,0.5095373,0.2368204,0.058678508,0.13843317,21.884933,0.05944122,8.4124775,0.24194466,-3.629862,-0.8082787,-2.1702468,-1.5305372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.702649,21.333687,0.028802298,-0.011221845,0.058656838,12.612613,0.0,0.0,0.0,9.929999,0.0,-43.07154,../../../dataset/mimii/fan/id_04/abnormal/00000002.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21939707,0.037749134,0.21219815,0.21951048,0.22619626,0.013998106,0.52927184,0.27582434,0.48928654,0.23668402,0.058699846,0.1452753,23.419252,0.053795177,8.794403,0.2299956,-1.7604969,-1.5676033,-2.6785173,-1.1689775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.408269,22.17533,0.030244507,-0.011352754,0.058698192,12.612613,0.0,0.0,0.0,9.929999,0.0,-43.101128,../../../dataset/mimii/fan/id_04/abnormal/00000003.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2344568,0.034922197,0.22760704,0.23446919,0.24143584,0.013828799,0.5186416,0.22412336,0.51105773,0.28946742,0.05997656,0.14064355,21.709455,0.063523866,5.756635,0.3658276,3.3590937,0.787292,-5.75681,-0.6143576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.19252,20.17654,0.023603661,-0.008965484,0.060055472,13.513514,0.0,0.0,0.0,9.929999,0.0,-42.98361,../../../dataset/mimii/fan/id_04/abnormal/00000004.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20893578,0.04134047,0.20148176,0.20828636,0.21593358,0.014451817,0.4962518,0.19708772,0.4448374,0.23722969,0.059932135,0.15709686,27.461203,0.060872536,3.5649014,0.7849507,3.3181503,0.94329214,-4.781752,-0.7327293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.536435,21.933954,0.018860918,-0.0095830215,0.05999155,12.0120125,0.0,0.0,0.0,9.929999,0.0,-43.128952,../../../dataset/mimii/fan/id_04/abnormal/00000005.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21153185,0.03920852,0.20486617,0.21134603,0.21756989,0.012703717,0.4970945,0.23606573,0.4558326,0.24968228,0.060208105,0.15043621,26.90216,0.05932739,3.7320685,0.62640446,3.0763283,0.97203815,-4.851339,-0.71988785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.288852,22.26856,0.017741632,-0.008592557,0.060306747,10.910912,0.0,0.0,0.0,9.929999,0.0,-43.137608,../../../dataset/mimii/fan/id_04/abnormal/00000006.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23203652,0.042009033,0.22384766,0.231535,0.23985352,0.016005859,0.55376005,0.29289284,0.5303089,0.27390385,0.0579556,0.14720258,22.533922,0.06511304,6.047455,0.34978896,-2.7640808,-1.067438,-4.0925956,-0.7965323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.088457,20.408173,0.031357724,-0.01018469,0.057976052,12.112112,0.0,0.0,0.0,9.929999,0.0,-43.1426,../../../dataset/mimii/fan/id_04/abnormal/00000007.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22554761,0.038073543,0.21844572,0.22548737,0.23275946,0.0143137425,0.5217599,0.239613,0.46742365,0.27883327,0.05846156,0.14523512,22.75944,0.058361202,7.952481,0.24606276,-3.3673685,-0.85858494,-2.2793705,-1.4662262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.903746,21.469421,0.029442746,-0.011429221,0.05847571,10.910912,0.0,0.0,0.0,9.929999,0.0,-43.120865,../../../dataset/mimii/fan/id_04/abnormal/00000008.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216101,0.038389336,0.20922852,0.2160059,0.22265947,0.013430953,0.51519185,0.2703291,0.5307612,0.24701864,0.05929706,0.15521331,26.763126,0.048735797,1.8390523,1.0423634,4.7868595,0.5553867,-6.366809,-0.5053803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.767305,21.23032,0.022300957,-0.0091441795,0.059368163,12.712713,0.0,0.0,0.0,9.929999,0.0,-43.199406,../../../dataset/mimii/fan/id_04/abnormal/00000009.wav
