hardness,depth,brightness,roughness,warmth,sharpness,boominess,reverb,filename,id_machine,machine_type,label
52.31665924815172,57.42838017382355,56.78175266277487,61.573218778398314,51.329001373394,43.749175915089,28.46243718889799,1,../../../dataset/mimii/fan/id_04/normal/00000275.wav,id_04,fan,normal
51.80361548336498,55.94802421339263,57.62375434762759,61.87254675419186,48.99081394360513,43.2929237479078,27.251268663349222,0,../../../dataset/mimii/fan/id_04/normal/00000879.wav,id_04,fan,normal
50.82250562447132,56.921986802220715,57.700155688052874,63.48660998452685,49.91375725644409,45.79988169264761,26.96977463208738,1,../../../dataset/mimii/fan/id_04/normal/00000123.wav,id_04,fan,normal
52.810739111222574,56.10984432962863,58.14548386411525,62.209381460382886,49.0861396514606,46.73510478893651,26.32426641046923,0,../../../dataset/mimii/fan/id_04/normal/00000260.wav,id_04,fan,normal
49.62783815504031,59.26990002271101,56.86809009433355,61.20190284800029,50.949647898406376,43.54349484716463,28.31863047688159,0,../../../dataset/mimii/fan/id_04/normal/00000863.wav,id_04,fan,normal
62.35908585719588,56.346327892206794,57.66027640770191,62.638946071051386,49.43545663721162,45.6132434203954,26.303706395989423,1,../../../dataset/mimii/fan/id_04/normal/00000250.wav,id_04,fan,normal
56.23552305052738,56.02784736489128,62.300142469671464,65.09228037261904,45.6822667064015,49.520348808269155,23.8362813962674,0,../../../dataset/mimii/fan/id_04/normal/00000071.wav,id_04,fan,normal
52.233971654146956,55.70409241445384,57.1021647472326,61.50732528368377,50.86993584290887,43.96372269932706,28.199314773075567,0,../../../dataset/mimii/fan/id_04/normal/00000648.wav,id_04,fan,normal
49.67693158904501,56.65773381160851,57.03835590085458,61.892749616481716,51.00642842684008,43.42996523010896,28.486303814210853,1,../../../dataset/mimii/fan/id_04/normal/00000104.wav,id_04,fan,normal
49.9420745243923,57.06443374829488,58.36704003613038,63.660286513605456,48.20872505388903,46.373658362790295,25.951338378994624,0,../../../dataset/mimii/fan/id_04/normal/00000533.wav,id_04,fan,normal
57.05195700676805,59.121089709912354,57.30504954843512,61.88987504662952,50.05205698783408,43.81371490012892,27.492666966425386,0,../../../dataset/mimii/fan/id_04/normal/00000457.wav,id_04,fan,normal
57.147759738156736,58.2464899626306,57.36511625739872,61.70124504283772,49.31244690639485,45.1918796719216,27.222929332136886,0,../../../dataset/mimii/fan/id_04/normal/00000355.wav,id_04,fan,normal
48.1490436958249,59.255838304446236,56.83947883469915,61.550215659244564,51.103448630490874,43.59086840566211,28.59126030892365,0,../../../dataset/mimii/fan/id_04/normal/00000490.wav,id_04,fan,normal
51.52889668571075,59.84981757047472,56.787973181243004,61.38489340055214,51.068863589450004,43.394443514539724,28.385447964511208,0,../../../dataset/mimii/fan/id_04/normal/00000814.wav,id_04,fan,normal
55.62872803714387,57.01195031043634,59.232482657202254,62.91906542989209,48.7524948998322,47.68695124515355,26.170810805678496,0,../../../dataset/mimii/fan/id_04/normal/00000143.wav,id_04,fan,normal
49.83721102369947,58.26753491499252,56.973033624495706,60.85031734600163,50.82665169143426,43.45142175170214,28.275551150336344,0,../../../dataset/mimii/fan/id_04/normal/00000661.wav,id_04,fan,normal
52.83570339352201,59.689511580061435,57.34684750212542,61.4514303461866,50.644767650255005,43.91850153176324,28.142022772604257,0,../../../dataset/mimii/fan/id_04/normal/00000251.wav,id_04,fan,normal
48.57181713441295,49.10140346324043,56.98391505115166,61.49954198490265,50.88614931907102,44.45179560849046,27.583334041694727,0,../../../dataset/mimii/fan/id_04/normal/00000599.wav,id_04,fan,normal
52.388389330634965,58.460058071244376,56.13998502585227,61.137710590911794,52.274958626986496,43.73622548314655,28.74876323465441,0,../../../dataset/mimii/fan/id_04/normal/00000213.wav,id_04,fan,normal
52.709426196128334,50.56032185250514,57.62904523306548,62.25436979513788,49.336677158238516,45.53805987991546,26.56578033949811,0,../../../dataset/mimii/fan/id_04/normal/00000395.wav,id_04,fan,normal
