localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,f1,f2,f3,f4,f0_mean,f0_std,filename,id_machine,machine_type,label
0.05245341866775302,0.4437747666354099,0.031174477643353623,0.04869276307036035,0.08116472273457996,0.007888688924271869,3.28494989271681e-05,0.0036547576797143063,0.005720639873668399,0.010964273039142899,1883.363307433994,2525.35570201138,3713.632596854635,4803.437701735283,243.73080976575753,21.02976459846064,../../../dataset/mimii/slider/id_02/normal/00000275.wav,id_02,slider,normal
0.3188055193616089,1.9329649209976196,None,None,None,0.005636621362847821,3.608819609287814e-05,None,None,None,869.9643354397357,2069.480294664276,2625.982317626828,3896.9586275577194,182.0522665452032,64.0706711687472,../../../dataset/mimii/slider/id_02/normal/00000879.wav,id_02,slider,normal
0.04738000163198203,0.4020106746016414,0.02913160090700065,0.04389291222368625,0.06898582715793734,0.004759622712499055,1.93070449477113e-05,0.0019546316161671937,0.003307567887285004,0.005863894848501575,1353.3673391777781,2491.51583445365,3632.0774903836223,4331.796010018697,248.04810564940738,11.577012659418992,../../../dataset/mimii/slider/id_02/normal/00000123.wav,id_02,slider,normal
0.04572842707870204,0.380638721952108,0.027498635288662747,0.0420670862719488,0.07143223700512004,0.0052930768999306585,2.1432046754946205e-05,0.0021249180290383164,0.0033948286354846405,0.006374754087114949,2460.8884720865008,2895.9661225035993,3877.018131546289,4867.000136496831,247.17231663044197,5.773651093097208,../../../dataset/mimii/slider/id_02/normal/00000260.wav,id_02,slider,normal
0.022879572574899844,0.23124977014958858,0.006101219353306566,None,None,0.0073514387448917065,3.624729378686972e-05,2.3157676793339493e-07,None,6.9473030415201e-07,1235.7146402262142,2397.2193268626156,3695.4015133253097,4422.377374144403,220.7608383615624,45.40394044372599,../../../dataset/mimii/slider/id_02/normal/00000863.wav,id_02,slider,normal
0.049424269385690014,0.4161717045644764,0.03000585888138114,0.04654697891663351,0.07932322107758678,0.004191728104078377,1.6952697540714124e-05,0.0015685044067639624,0.002519209777976854,0.004705513220291904,1112.1780832619907,2467.587696967293,3052.494826268362,3979.5578384356822,247.67315057571733,6.539507981171303,../../../dataset/mimii/slider/id_02/normal/00000250.wav,id_02,slider,normal
0.04901441753629808,0.41358370869633027,0.029198662321548077,0.044560775908337596,0.07786649648761945,0.003817504944642439,1.5579421291872937e-05,0.0016273747585247894,0.00242831154102061,0.004882124275574364,2246.240529126587,2499.4611054040724,3695.0326037204504,4714.679016700288,248.2824865610319,16.637915285338664,../../../dataset/mimii/slider/id_02/normal/00000071.wav,id_02,slider,normal
0.07719182036701172,0.5987202996741338,0.03424043686438034,0.041833823700870035,0.04907639650944188,0.005993287655488306,2.4952180905570537e-05,0.001568538055334666,0.002604766569625087,0.004705614166004023,758.2536585822992,1583.4996550027702,2754.503590806719,3377.100737398797,243.82410152170337,20.079698228807896,../../../dataset/mimii/slider/id_02/normal/00000648.wav,id_02,slider,normal
0.04457658066365019,0.3787276399284651,0.02673651521351636,0.043227587617521296,0.07652691069571438,0.0036715868939379993,1.5271078630969825e-05,0.001348916944472648,0.0022367694372004386,0.00404675083341795,2484.381400479682,2499.6180416611655,3839.020957226984,4959.21366374134,244.3451111578734,21.864236648506857,../../../dataset/mimii/slider/id_02/normal/00000104.wav,id_02,slider,normal
0.054597355378986114,0.45454117245618775,0.03219725445048326,0.05126289320116625,0.08297323824826454,0.006498478995394071,2.6619079092222735e-05,0.0025306847112581765,0.004268246246934675,0.007592054133774531,1146.4053193720245,2474.5140083096253,3003.180330339967,3963.820339507672,245.2822363105309,11.918382473663469,../../../dataset/mimii/slider/id_02/normal/00000533.wav,id_02,slider,normal
0.04718587303978419,0.39362077694935005,0.028925513529669145,0.04563629037119876,0.07896434575161981,0.006959307806992411,2.841241949824531e-05,0.0028497899519456197,0.004718628771303866,0.008549369855836866,1146.989240699898,2472.9110300188986,3143.085370579296,3923.883066379002,245.77562153367614,10.6250993520788,../../../dataset/mimii/slider/id_02/normal/00000457.wav,id_02,slider,normal
0.04280030296119882,0.3616671209933804,0.02567047175463246,0.040441628777635866,0.06818612799115735,0.005375426428182456,2.189882980283712e-05,0.002040864985239527,0.0036133969131857853,0.006122594955718582,2330.816874576982,2517.7105802889987,3861.8260519313117,4840.113819690478,246.22118446704695,8.467757407374226,../../../dataset/mimii/slider/id_02/normal/00000355.wav,id_02,slider,normal
0.04294595794929975,0.35919410272687624,0.02559258803517006,0.03993332221055684,0.06242043496380792,0.005195155477582273,2.130243861854463e-05,0.0020440031901610206,0.0034475693029490623,0.006132009570483071,2277.623827389672,2779.2818891854836,3786.340956799516,4837.1690640208535,245.97419285596854,13.740287720977294,../../../dataset/mimii/slider/id_02/normal/00000490.wav,id_02,slider,normal
0.06815977756401705,0.6294119656085968,0.07800987200101107,None,None,0.010488016609155142,4.721430319022607e-05,0.0010557448137232983,None,0.0031672344411697987,1536.2705278440187,2476.3841877841937,3673.5715018203596,4460.257640416931,239.19191700693065,44.46266309143741,../../../dataset/mimii/slider/id_02/normal/00000814.wav,id_02,slider,normal
0.049168001727471496,0.4160116821756297,0.029730033926811745,0.046761185634530626,0.0789376293969373,0.0035336605179958937,1.4312979103049313e-05,0.0015161043110411183,0.002366334837160121,0.004548312933123342,2072.7865776214285,2493.9546425903563,3664.839416427721,4740.746139352196,248.3707708224107,11.381515417244817,../../../dataset/mimii/slider/id_02/normal/00000143.wav,id_02,slider,normal
0.016594436850516602,0.07983739487826824,0.011062957900344514,None,None,0.0010080261263222666,5.546690539681796e-06,3.0342664517376687e-07,None,9.102799358365601e-07,865.3425886015514,1317.8757403453506,2422.2334376527288,3710.5957965854427,195.43073882721407,47.73242858536317,../../../dataset/mimii/slider/id_02/normal/00000661.wav,id_02,slider,normal
