machine_type,machine_id,metrics.model_name,metrics.mean_roc_auc,metrics.mean_pr_auc,metrics.std_roc_auc,metrics.std_pr_auc,metrics.roc_auc,metrics.pr_auc,metrics.iterative_threshold_method.f1_score,metrics.iterative_threshold_method.precision_score,metrics.iterative_threshold_method.recall_score,metrics.iterative_threshold_method.accuracy_score,metrics.iterative_threshold_method.confusion_matrix,metrics.iterative_threshold_method.classification_report,metrics.iterative_threshold_method.best_threshold,metrics.derive_threshold_method.f1_score,metrics.derive_threshold_method.precision_score,metrics.derive_threshold_method.recall_score,metrics.derive_threshold_method.accuracy_score,metrics.derive_threshold_method.confusion_matrix,metrics.derive_threshold_method.classification_report,metrics.derive_threshold_method.best_threshold
fan,id_00,isolation_forest,0.8553866210745692,0.7347655387717122,0.014651247811404288,0.01020000429637332,0.8386527841973386,0.7258274024344364,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,283,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,283,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778
fan,id_00,isolation_forest,0.8553866210745692,0.7347655387717122,0.014651247811404288,0.01020000429637332,0.8386527841973386,0.7258274024344364,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,283,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,124,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778
fan,id_00,isolation_forest,0.8553866210745692,0.7347655387717122,0.014651247811404288,0.01020000429637332,0.8386527841973386,0.7258274024344364,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,283,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,33,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778
fan,id_00,isolation_forest,0.8553866210745692,0.7347655387717122,0.014651247811404288,0.01020000429637332,0.8386527841973386,0.7258274024344364,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,283,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,169,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778
fan,id_00,isolation_forest,0.8553866210745692,0.7347655387717122,0.014651247811404288,0.01020000429637332,0.8386527841973386,0.7258274024344364,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,124,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,283,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778
fan,id_00,isolation_forest,0.8553866210745692,0.7347655387717122,0.014651247811404288,0.01020000429637332,0.8386527841973386,0.7258274024344364,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,124,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,124,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778
fan,id_00,isolation_forest,0.8553866210745692,0.7347655387717122,0.014651247811404288,0.01020000429637332,0.8386527841973386,0.7258274024344364,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,124,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,33,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778
fan,id_00,isolation_forest,0.8553866210745692,0.7347655387717122,0.014651247811404288,0.01020000429637332,0.8386527841973386,0.7258274024344364,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,124,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,169,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778
fan,id_00,isolation_forest,0.8553866210745692,0.7347655387717122,0.014651247811404288,0.01020000429637332,0.8386527841973386,0.7258274024344364,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,33,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,283,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778
fan,id_00,isolation_forest,0.8553866210745692,0.7347655387717122,0.014651247811404288,0.01020000429637332,0.8386527841973386,0.7258274024344364,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,33,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,124,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778
fan,id_00,isolation_forest,0.8553866210745692,0.7347655387717122,0.014651247811404288,0.01020000429637332,0.8386527841973386,0.7258274024344364,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,33,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778,0.6828282828282828,0.5767918088737202,0.8366336633663366,0.7422003284072249,33,"              precision    recall  f1-score   support

          -1       0.90      0.70      0.78       407
           1       0.58      0.84      0.68       202

    accuracy                           0.74       609
   macro avg       0.74      0.77      0.73       609
weighted avg       0.79      0.74      0.75       609
",-0.484384960577778
